,precision,recall,f1-score,support
Blackhole Attack,0.6125375125041681,0.4689813632882308,0.531231925968768,3917.0
Flooding Attack,0.5935320228281548,0.3163230821223386,0.4126984126984127,2959.0
Normal Traffic,0.8285570638511816,0.8395313295975547,0.8340080971659919,3926.0
Sybil Attack,0.6230990546650226,0.8396566048186098,0.7153474106405568,3611.0
Wormhole Attack,0.4944965348552792,0.6199846664962944,0.550175756888536,3913.0
accuracy,0.6289970533668012,0.6289970533668012,0.6289970533668012,0.6289970533668012
macro avg,0.6304444377407613,0.6168954092646056,0.6086923206724532,18326.0
weighted avg,0.6326236686669857,0.6289970533668012,0.6172805349337468,18326.0
