,precision,recall,f1-score,support
Blackhole Attack,0.9213675213675213,0.8256318611182027,0.8708765315739867,3917.0
Flooding Attack,0.9816824966078698,0.9780331192970598,0.9798544100220078,2959.0
Normal Traffic,0.9686528497409327,0.9523688232297504,0.9604418186488569,3926.0
Sybil Attack,0.9935610302351624,0.9828302409304902,0.9881665042461367,3611.0
Wormhole Attack,0.8133453561767358,0.92205468949655,0.8642951251646903,3913.0
accuracy,0.9289533995416348,0.9289533995416348,0.9289533995416348,0.9289533995416348
macro avg,0.9357218508256444,0.9321837468144107,0.9327268779311357,18326.0
weighted avg,0.9323963459369699,0.9289533995416348,0.9293661041715634,18326.0
