,Blackhole Attack,Flooding Attack,Normal Traffic,Sybil Attack,Wormhole Attack
Blackhole Attack,2614,46,97,11,1149
Flooding Attack,96,2349,11,368,135
Normal Traffic,84,16,3628,2,196
Sybil Attack,13,146,8,3401,43
Wormhole Attack,803,86,163,32,2829
