,Blackhole Attack,Flooding Attack,Normal Traffic,Sybil Attack,Wormhole Attack
Blackhole Attack,2609,53,96,11,1148
Flooding Attack,101,2347,9,371,131
Normal Traffic,85,15,3631,2,193
Sybil Attack,13,138,8,3409,43
Wormhole Attack,809,87,159,31,2827
