Model,Test Accuracy,Test F1 (weighted),Test AUC
Logistic Regression (TDA),0.8252506650296706,0.8177235720944136,0.9718120668258097
Random Forest (TDA),0.9111111111111111,0.9099161560794548,0.9890192929847207
SVM (TDA),0.7732351135666052,0.7785269606138164,0.9543462347050181
