,precision,recall,f1-score,support
Blackhole Attack,0.9685106382978723,0.8715853969874904,0.9174952969631819,3917.0
Flooding Attack,0.9983096686950642,0.9979722879351132,0.9981409498056447,2959.0
Normal Traffic,0.991851285968933,0.9921039225674987,0.9919775881828601,3926.0
Sybil Attack,1.0,0.9997230684021047,0.9998615150256197,3611.0
Wormhole Attack,0.8755225267069205,0.9634551495016611,0.9173865433751065,3913.0
accuracy,0.9626759794827022,0.9626759794827022,0.9626759794827022,0.9626759794827022
macro avg,0.9668388239337581,0.9649679650787736,0.9649723786704826,18326.0
weighted avg,0.9646721748117248,0.9626759794827022,0.9626795609991213,18326.0
