Model,Baseline Accuracy,TDA Accuracy,Accuracy Δ,Accuracy Δ%,Baseline F1,TDA F1,F1 Δ,F1 Δ%,Baseline AUC,TDA AUC,AUC Δ,AUC Δ%
Logistic Regression,0.7583,0.9700838960507469,0.21178389605074688,27.92877437040049,0.76,0.9700651574443226,0.21006515744432264,27.640152295305608,0.9454,0.9983031634684312,0.05290316346843116,5.595849742799996
Random Forest,0.9615,0.9990996521383262,0.03759965213832617,3.910520243195649,0.9615,0.9990996525876104,0.03759965258761033,3.9105202899230718,0.9971,0.9999954932435672,0.002895493243567193,0.290391459589529
SVM,0.621,0.9912011458972784,0.37020114589727837,59.61371109456979,0.6101,0.9912015420974322,0.3811015420974322,62.465422405742046,0.8971,0.9997364871541232,0.10263648715412321,11.440919312687907
