,Blackhole Attack,Flooding Attack,Normal Traffic,Sybil Attack,Wormhole Attack
Blackhole Attack,1837,18,190,6,1866
Flooding Attack,152,936,212,1353,306
Normal Traffic,177,75,3296,137,241
Sybil Attack,95,400,17,3032,67
Wormhole Attack,738,148,263,338,2426
