feature_set,model,seed,curated,accuracy,weighted_f1,macro_f1,weighted_auc,auc_Blackhole Attack,auc_Flooding Attack,auc_Normal Traffic,auc_Sybil Attack,auc_Wormhole Attack,best_params
original,logreg,42,False,0.877114482156499,0.877785332577173,0.8845933130534492,0.9784295863297955,0.9687733284020835,0.9987657175340046,0.9882148037301184,0.9994055615731483,0.9435427833530968,{'C': 10.0}
original,logreg,7,False,0.877114482156499,0.877785332577173,0.8845933130534492,0.9784295863297955,0.9687733284020835,0.9987657175340046,0.9882148037301184,0.9994055615731483,0.9435427833530968,{'C': 10.0}
original,logreg,2024,False,0.877114482156499,0.877785332577173,0.8845933130534492,0.9784295863297955,0.9687733284020835,0.9987657175340046,0.9882148037301184,0.9994055615731483,0.9435427833530968,{'C': 10.0}
original,rf,42,False,0.9616392011349995,0.9616612836665275,0.9640275477495306,0.9971183166794434,0.994042741242642,0.9999936223021321,0.999898654624441,0.9999996424260713,0.9925742138440946,"{'n_estimators': 100, 'max_depth': None}"
original,rf,7,False,0.9621303066681218,0.9621333791722129,0.9644612465910584,0.9972685819522911,0.9942978880618699,0.9999928085958524,0.9999055707675326,0.9999998118031954,0.9930160729439159,"{'n_estimators': 300, 'max_depth': 20}"
original,rf,2024,False,0.9616392011349995,0.9616411635483947,0.9640004247975232,0.9972323459627604,0.9942369118611564,0.9999941721036725,0.9999058095601969,0.9999996424260713,0.9929062908164462,"{'n_estimators': 300, 'max_depth': 20}"
original,svm,42,False,0.8993233657099203,0.8995916877412062,0.9040176794810761,0.9867262431674628,0.9778213354973284,0.9980891757425888,0.9970675553291447,0.9995362642539085,0.9648506050801137,"{'C': 10.0, 'gamma': 'scale'}"
original,svm,7,False,0.8968132707628506,0.8970563423923552,0.9016871018619435,0.9859580191457117,0.9772909143086738,0.997754379592616,0.9966168916624215,0.9992995126737844,0.9627075086560145,"{'C': 10.0, 'gamma': 'scale'}"
original,svm,2024,False,0.901724326094074,0.9018797340821475,0.9063521090431997,0.9864025863171355,0.9771943871137045,0.9978537507230165,0.996335929982453,0.9997359410635359,0.9646902095176344,"{'C': 10.0, 'gamma': 'scale'}"
original,rf,42,True,0.9626759794827022,0.9626795609991213,0.9649723786704826,0.9972346838645242,0.994226413997166,0.9999915110642172,0.9999033420359994,0.9999998306228759,0.9929320629754187,"{'n_estimators': 300, 'max_depth': 20}"
original,rf,7,True,0.9631670850158245,0.9631946180727574,0.9654627710679426,0.9971551590663141,0.9940463291202083,0.999993798238625,0.9999039169072281,0.9999996894752725,0.9927377123496905,"{'n_estimators': 300, 'max_depth': None}"
original,rf,2024,True,0.9622940085124959,0.962296871504035,0.9646225956511231,0.9972315400180858,0.9942379483591202,0.9999943810282578,0.9999030943991623,0.9999997929835149,0.9929039059830223,"{'n_estimators': 300, 'max_depth': 20}"
summary_only,logreg,42,False,0.6289970533668012,0.6172805349337468,0.6086923206724532,0.8912424455625669,0.8868554393455299,0.86017303178141,0.9535364662930887,0.9399656239716808,0.811664775260302,{'C': 1.0}
summary_only,logreg,7,False,0.6289970533668012,0.6172805349337468,0.6086923206724532,0.8912424455625669,0.8868554393455299,0.86017303178141,0.9535364662930887,0.9399656239716808,0.811664775260302,{'C': 1.0}
summary_only,logreg,2024,False,0.6289970533668012,0.6172805349337468,0.6086923206724532,0.8912424455625669,0.8868554393455299,0.86017303178141,0.9535364662930887,0.9399656239716808,0.811664775260302,{'C': 1.0}
summary_only,rf,42,False,0.8087416784895777,0.8089966200520757,0.8120400718119519,0.9634433724638471,0.9405797421912414,0.9773761504404802,0.9909435051932982,0.9912145685404763,0.9225750973849832,"{'n_estimators': 300, 'max_depth': 20}"
summary_only,rf,7,False,0.8099421586816545,0.8101757083979652,0.8130744341086251,0.9637502205653002,0.9412733365080292,0.9776267389865351,0.9911028594979341,0.9913594706701397,0.9228347782616458,"{'n_estimators': 300, 'max_depth': 20}"
summary_only,rf,2024,False,0.8099421586816545,0.8101372032750601,0.8131590857582702,0.9636687664479909,0.9410645397515838,0.9773869595387631,0.9911668028669269,0.9913764836612708,0.9227637740575833,"{'n_estimators': 300, 'max_depth': 20}"
summary_only,svm,42,False,0.5993124522536287,0.5601254771371696,0.5404290236767294,0.9016661746293417,0.8891181232590267,0.889950129261641,0.9670304628686253,0.9512123026509495,0.8117830239897044,"{'C': 10.0, 'gamma': 'auto'}"
summary_only,svm,7,False,0.6032958638000655,0.5716388309879658,0.5539607340978056,0.9009780412642455,0.8919589427033316,0.8792796689350232,0.9684932536650253,0.9473784890864203,0.8158557698136794,"{'C': 10.0, 'gamma': 'auto'}"
summary_only,svm,2024,False,0.6028593255484012,0.5637520187257159,0.5445773080347914,0.9030961454287887,0.8927277407057006,0.8875214799214787,0.9684704180109808,0.9506702582144846,0.815758798408506,"{'C': 10.0, 'gamma': 'auto'}"
summary_only,rf,42,True,0.8088508130524937,0.8090526172481113,0.8120933761189745,0.9636224660753174,0.9400612894534314,0.9783278898948962,0.9911600812956359,0.9919626602484027,0.922305487090347,"{'n_estimators': 300, 'max_depth': 20}"
summary_only,rf,7,True,0.8086871112081196,0.8089153524181076,0.812111920297309,0.9634490509851222,0.9396604393691833,0.9782876664142052,0.9912481692562405,0.9918208445463342,0.9219674879294184,"{'n_estimators': 300, 'max_depth': 20}"
summary_only,rf,2024,True,0.8095601877114482,0.8097829604567666,0.8128280898036258,0.9637243735272512,0.9401483730002878,0.978389346711075,0.9912580835738948,0.9920995640138727,0.9224244450638903,"{'n_estimators': 300, 'max_depth': 20}"
