,Blackhole Attack,Flooding Attack,Normal Traffic,Sybil Attack,Wormhole Attack
Blackhole Attack,3371,8,461,7,1375
Flooding Attack,1,3742,0,58,144
Normal Traffic,374,48,3770,78,965
Sybil Attack,6,121,27,4649,13
Wormhole Attack,1723,36,429,32,2997
