Attack Type,AUC (Overall),AUC (C2),AUC (Network),AUC (Physical)
Sybil Attack,0.7115597030279716,0.9206924924391374,0.8431082862078297,0.654524953213008
Blackhole Attack,0.38352278518160876,0.2322397893388238,0.3975901610871213,0.48952128038487736
Wormhole Attack,0.6340670932578174,0.4971805057840412,0.44655107977192066,0.5964463790759456
Flooding Attack,0.6589403096124753,0.7302181494161951,0.438673664431369,0.385181123616198
