,precision,recall,f1-score,support
Blackhole Attack,0.9565577161770791,0.5902476384988512,0.7300284180612567,3917.0
Flooding Attack,0.8545762711864406,0.8519770192632646,0.8532746657640887,2959.0
Normal Traffic,0.8952974798648999,0.8777381558838513,0.8864308681672026,3926.0
Sybil Attack,0.9907355418304323,0.9772916089725838,0.9839676564896139,3611.0
Wormhole Attack,0.6115717375630858,0.867109634551495,0.7172603318888067,3913.0
accuracy,0.829477245443632,0.829477245443632,0.829477245443632,0.829477245443632
macro avg,0.8617477493243875,0.8328728114340092,0.8341923880741937,18326.0
weighted avg,0.8600399387367641,0.829477245443632,0.8307451448341817,18326.0
