,precision,recall,f1-score,support
Blackhole Attack,0.677365799667958,0.624968087822313,0.6501128668171557,3917.0
Flooding Attack,0.8483376914456481,0.7674890165596485,0.8058907026259758,2959.0
Normal Traffic,0.9157812904897642,0.9001528273051452,0.9078998073217728,3926.0
Sybil Attack,0.8648507071765322,0.9144281362503461,0.8889487144972406,3611.0
Wormhole Attack,0.6147315282239559,0.684640940454894,0.6478055857816467,3913.0
accuracy,0.7767106842737095,0.7767106842737095,0.7767106842737095,0.7767106842737095
macro avg,0.7842134034007717,0.7783358016784694,0.7801315354087583,18326.0
weighted avg,0.7796164349178585,0.7767106842737095,0.7770596091428277,18326.0
