,precision,recall,f1-score,support
Blackhole Attack,0.721316007741222,0.6660709726831759,0.6925935757897531,3917.0
Flooding Attack,0.8890151515151515,0.7931733693815478,0.8383639935702805,2959.0
Normal Traffic,0.9303100179349219,0.9248599083036169,0.927576957465832,3926.0
Sybil Attack,0.8914748953974896,0.9440598172251454,0.9170141223940821,3611.0
Wormhole Attack,0.6510824504836481,0.7224635829286992,0.6849182313749244,3913.0
accuracy,0.8088508130524937,0.8088508130524937,0.8088508130524937,0.8088508130524937
macro avg,0.8166397046144865,0.810125530104437,0.8120933761189745,18326.0
weighted avg,0.8116986381147578,0.8088508130524937,0.8090526172481113,18326.0
