,Blackhole Attack,Flooding Attack,Normal Traffic,Sybil Attack,Wormhole Attack
Blackhole Attack,1995,0,73,11,1838
Flooding Attack,1044,0,83,645,1187
Normal Traffic,1563,0,1496,272,595
Sybil Attack,863,0,66,1388,1294
Wormhole Attack,1568,0,133,249,1963
