w,attack_class,manifold,mean,std,ci_lo,ci_hi,dominant,n_runs
25,Blackhole Attack,c2,0.28146260519141875,0.0,0.27049946663505986,0.2922092864762356,False,10
25,Blackhole Attack,network,0.291482754533602,0.0004951096264188427,0.28020241199478485,0.30276235628778,False,10
25,Blackhole Attack,physical,0.5441922484295365,0.0,0.5256953745407136,0.5626208071589427,True,10
25,Wormhole Attack,c2,0.36432920055103757,0.0,0.35033265009109893,0.3781764931342487,False,10
25,Wormhole Attack,network,0.8230147091498912,0.00048396859559192716,0.8130594809580944,0.8330060714127006,True,10
25,Wormhole Attack,physical,0.7706694662933831,0.0,0.7577146935964094,0.7836551376483135,False,10
25,Sybil Attack,c2,0.9247478301665494,0.0,0.9188091133004928,0.930739062866526,True,10
25,Sybil Attack,network,0.5825216983345063,0.00045327200883469844,0.5700089139103917,0.5955020525451561,False,10
25,Sybil Attack,physical,0.6604738447102978,0.0,0.6487090370631011,0.672080195871452,False,10
25,Flooding Attack,c2,0.6400127650127649,1.1702778228589004e-16,0.6241651404151404,0.6557347860472861,True,10
25,Flooding Attack,network,0.566498778998779,0.0007659948800796574,0.545417186979687,0.5864997155622155,False,10
25,Flooding Attack,physical,0.36000111000111,0.0,0.34764922577422575,0.3726252913752914,False,10
50,Blackhole Attack,c2,0.26703270470279306,0.0,0.2526267605633803,0.28187479111959896,False,10
50,Blackhole Attack,network,0.2707185485796132,0.001110111449672615,0.25729744569109575,0.28413965146813086,False,10
50,Blackhole Attack,physical,0.5789448555741227,0.0,0.5530269754117928,0.6051477679637145,True,10
50,Wormhole Attack,c2,0.36191239316239315,0.0,0.3424724002849003,0.38145933493589745,False,10
50,Wormhole Attack,network,0.8140402421652422,0.0013125539915604457,0.8009185808404559,0.8269149528133903,True,10
50,Wormhole Attack,physical,0.8096064814814816,0.0,0.7925806846509972,0.8269767183048433,False,10
50,Sybil Attack,c2,0.9252645502645503,1.1702778228589004e-16,0.9175734599395313,0.9335580829554043,True,10
50,Sybil Attack,network,0.6126417233560091,0.0010314491217586449,0.5967344576719578,0.6285930413832199,False,10
50,Sybil Attack,physical,0.6179138321995465,0.0,0.6030777588813303,0.6329628448601663,False,10
50,Flooding Attack,c2,0.6757025340915365,0.0,0.6549497598409982,0.6956125434770607,True,10
50,Flooding Attack,network,0.6292773146358969,0.0010873192134166823,0.604019074697731,0.6559108099155303,False,10
50,Flooding Attack,physical,0.3382653342902887,0.0,0.32241387401313976,0.353912797438304,False,10
100,Blackhole Attack,c2,0.29999999999999993,5.851389114294502e-17,0.27827944015444017,0.32008011583011586,False,10
100,Blackhole Attack,network,0.29028957528957533,0.005019346269176774,0.27007625482625486,0.30915299227799226,False,10
100,Blackhole Attack,physical,0.6052123552123552,0.0,0.5661525096525095,0.6406182432432432,True,10
100,Wormhole Attack,c2,0.34009971509971504,5.851389114294502e-17,0.31443910256410257,0.3675400641025641,False,10
100,Wormhole Attack,network,0.7968482905982905,0.0029408207166264407,0.7772605056980056,0.8157251602564102,False,10
100,Wormhole Attack,physical,0.8703703703703705,0.0,0.8498005698005698,0.8907233796296294,True,10
100,Sybil Attack,c2,0.9310279667422525,0.0,0.9186498488284203,0.9421962396069538,True,10
100,Sybil Attack,network,0.6045162509448223,0.004019858659920279,0.579697656840514,0.6293494897959183,False,10
100,Sybil Attack,physical,0.5614134542705971,0.0,0.5425732237339379,0.5792568972033258,False,10
100,Flooding Attack,c2,0.7102396514161221,1.1702778228589004e-16,0.68880174291939,0.7313311546840959,True,10
100,Flooding Attack,network,0.6774727668845316,0.002881533017896824,0.6450528322440088,0.7091083877995643,False,10
100,Flooding Attack,physical,0.3196078431372548,5.851389114294502e-17,0.30017102396514156,0.3382363834422658,False,10
200,Blackhole Attack,c2,0.351608187134503,5.851389114294502e-17,0.31929641812865495,0.3825292397660819,False,10
200,Blackhole Attack,network,0.2948099415204678,0.0038069444312659488,0.2649104532163743,0.3256615497076023,False,10
200,Blackhole Attack,physical,0.5584795321637428,0.0,0.5077448830409356,0.6078234649122808,True,10
200,Wormhole Attack,c2,0.3150584795321637,0.0,0.27799342105263153,0.3516081871345029,False,10
200,Wormhole Attack,network,0.7865497076023391,0.0016881586818409788,0.7603070175438597,0.8117708333333333,False,10
200,Wormhole Attack,physical,0.8654970760233918,0.0,0.834283625730994,0.8942269736842106,True,10
200,Sybil Attack,c2,0.9268680445151032,1.1702778228589004e-16,0.909614467408585,0.942927265500795,True,10
200,Sybil Attack,network,0.5332273449920508,0.0023640390061680514,0.5028616852146265,0.5642309220985691,False,10
200,Sybil Attack,physical,0.5834658187599364,0.0,0.5581875993640699,0.6121641494435611,False,10
200,Flooding Attack,c2,0.6964912280701754,0.0,0.6645592105263157,0.7265811403508772,False,10
200,Flooding Attack,network,0.7466666666666666,0.0028288623678240613,0.7049100877192983,0.7853508771929825,True,10
200,Flooding Attack,physical,0.35,0.0,0.3211381578947368,0.3815811403508772,False,10
