w,arm,subset,scoring,mean,std,ci_lo,ci_hi,n_runs
25,ordered,c2_only,raw,0.6622414293412927,1.1702778228589004e-16,0.651523053724661,0.6738886125274633,10
25,ordered,c2_only,znorm,0.6622414293412927,1.1702778228589004e-16,0.651523053724661,0.6738886125274633,10
25,ordered,network_only,raw,0.7415858309497161,0.0005758475006111089,0.7286891659412178,0.7549982381959126,10
25,ordered,network_only,znorm,0.7415858309497161,0.0005758475006111089,0.7286891659412178,0.7549982381959126,10
25,ordered,physical_only,raw,0.828358827674833,1.1702778228589004e-16,0.8188526509969738,0.8370303496662934,10
25,ordered,physical_only,znorm,0.828358827674833,1.1702778228589004e-16,0.8188526509969738,0.8370303496662934,10
25,ordered,c2_network,raw,0.703374373005016,0.000211883350954077,0.6924117284334452,0.715137213447747,10
25,ordered,c2_network,znorm,0.7555103013721345,0.00041269706198358706,0.7445668811922231,0.7661539557683539,10
25,ordered,c2_physical,raw,0.829042822202877,0.0,0.819777183600713,0.838783785184264,10
25,ordered,c2_physical,znorm,0.8522571819425444,0.0,0.8435702182564357,0.86119302636488,10
25,ordered,network_physical,raw,0.8439891389959788,0.0001475204501315805,0.835147939725573,0.8523270322928326,10
25,ordered,network_physical,znorm,0.8452037474609295,0.000292726308666228,0.8361797351075737,0.8538926284044273,10
25,ordered,all_three,raw,0.8484237035194628,9.849314357076341e-05,0.8394857086597853,0.8571739107905318,10
25,ordered,all_three,znorm,0.8687538863325457,0.0001527662617538489,0.8605106381876217,0.8768760622642291,10
25,shuffled,c2_only,raw,0.4385924803277764,0.020795224624706263,0.4224067497062879,0.45470986470443203,10
25,shuffled,c2_only,znorm,0.4385924803277764,0.020795224624706263,0.4224067497062879,0.45470986470443203,10
25,shuffled,network_only,raw,0.5056618350803742,0.02951362909484388,0.49011918024838724,0.5215028061717595,10
25,shuffled,network_only,znorm,0.5056618350803742,0.02951362909484388,0.49011918024838724,0.5215028061717595,10
25,shuffled,physical_only,raw,0.5745943267025496,0.025657234293146595,0.5585953213081464,0.5894353102778398,10
25,shuffled,physical_only,znorm,0.5745943267025496,0.025657234293146595,0.5585953213081464,0.5894353102778398,10
25,shuffled,c2_network,raw,0.44741141773024784,0.02293514111690706,0.4313381972934037,0.46367964564131536,10
25,shuffled,c2_network,znorm,0.4699430725857969,0.030585313320945065,0.4536702670083123,0.4860929116885362,10
25,shuffled,c2_physical,raw,0.5095964040725203,0.024432597027740748,0.4934954169821634,0.5250372125907878,10
25,shuffled,c2_physical,znorm,0.5268013743894636,0.025020897950479095,0.5102680092509948,0.542210253868862,10
25,shuffled,network_physical,raw,0.5863979484342311,0.0212077497664119,0.570101978714587,0.6019852592155571,10
25,shuffled,network_physical,znorm,0.5811789982235797,0.01949975123828916,0.5644417743577299,0.5972730545623736,10
25,shuffled,all_three,raw,0.5116243062086314,0.021091435630387817,0.49536337508672973,0.5270038287423205,10
25,shuffled,all_three,znorm,0.5321736965415975,0.020950753534685927,0.5152886145337524,0.548146540950153,10
50,ordered,c2_only,raw,0.6745431893687706,1.1702778228589004e-16,0.6593140573089701,0.6910223214285713,10
50,ordered,c2_only,znorm,0.6745431893687706,1.1702778228589004e-16,0.6593140573089701,0.6910223214285713,10
50,ordered,network_only,raw,0.7897965116279069,0.0006979407856928404,0.7714274294019933,0.8077186461794019,10
50,ordered,network_only,znorm,0.7897965116279069,0.0006979407856928404,0.7714274294019933,0.8077186461794019,10
50,ordered,physical_only,raw,0.8394933554817274,0.0,0.8268971137873754,0.8522720099667773,10
50,ordered,physical_only,znorm,0.8394933554817274,0.0,0.8268971137873754,0.8522720099667773,10
50,ordered,c2_network,raw,0.7146843853820598,0.00025085562104261216,0.7002854028239202,0.7305367524916944,10
50,ordered,c2_network,znorm,0.7705024916943521,0.0009709776369852299,0.7565686254152824,0.785092919435216,10
50,ordered,c2_physical,raw,0.8789867109634552,0.0,0.8681378737541527,0.8890749584717608,10
50,ordered,c2_physical,znorm,0.8914036544850499,1.1702778228589004e-16,0.882171823089701,0.9007518687707642,10
50,ordered,network_physical,raw,0.8633679401993355,0.0001431235551003954,0.8525415282392027,0.8749004360465117,10
50,ordered,network_physical,znorm,0.8692607973421926,0.0002787861766372716,0.8581140988372092,0.8807694144518271,10
50,ordered,all_three,raw,0.8912541528239203,6.252264557384184e-05,0.8814805855481728,0.900705980066445,10
50,ordered,all_three,znorm,0.9010465116279068,0.0002363828815740507,0.8911860465116277,0.9106497093023256,10
50,shuffled,c2_only,raw,0.4437567435202235,0.045542238997139065,0.4216423439932618,0.46577506363318055,10
50,shuffled,c2_only,znorm,0.4437567435202235,0.045542238997139065,0.4216423439932618,0.46577506363318055,10
50,shuffled,network_only,raw,0.5069077566694404,0.032026623759656474,0.48530283969226373,0.5279114723590633,10
50,shuffled,network_only,znorm,0.5069077566694404,0.032026623759656474,0.48530283969226373,0.5279114723590633,10
50,shuffled,physical_only,raw,0.6097897514708503,0.024947795317644184,0.5896694344824099,0.6298126884048704,10
50,shuffled,physical_only,znorm,0.6097897514708503,0.024947795317644184,0.5896694344824099,0.6298126884048704,10
50,shuffled,c2_network,raw,0.44944682426942906,0.04541250900704899,0.42770650061944754,0.47218770719744324,10
50,shuffled,c2_network,znorm,0.47097380361852076,0.039365628793212995,0.4493905434692284,0.49219040865497315,10
50,shuffled,c2_physical,raw,0.5418107785411513,0.03181690942834921,0.5198162654744319,0.5634758889546351,10
50,shuffled,c2_physical,znorm,0.567990979381247,0.02771855950733066,0.5465174316017327,0.5893258561791115,10
50,shuffled,network_physical,raw,0.6197785589806386,0.0203017242561163,0.5991286275425671,0.6395527407576844,10
50,shuffled,network_physical,znorm,0.6151440565755146,0.018784569527730176,0.594391671310223,0.6363039990855353,10
50,shuffled,all_three,raw,0.5434686793263225,0.033618968005345,0.5219451184047197,0.5659419408158248,10
50,shuffled,all_three,znorm,0.5681956682213167,0.029821060060382897,0.5473206375263064,0.5900798238887418,10
100,ordered,c2_only,raw,0.7179401993355483,1.1702778228589004e-16,0.6941507475083056,0.7419979235880397,10
100,ordered,c2_only,znorm,0.7179401993355483,1.1702778228589004e-16,0.6941507475083056,0.7419979235880397,10
100,ordered,network_only,raw,0.8236710963455149,0.0036226760899827765,0.7972421096345514,0.8466133720930233,10
100,ordered,network_only,znorm,0.8236710963455149,0.0036226760899827765,0.7972421096345514,0.8466133720930233,10
100,ordered,physical_only,raw,0.8524916943521592,1.1702778228589004e-16,0.8318882890365449,0.8711129568106312,10
100,ordered,physical_only,znorm,0.8524916943521592,1.1702778228589004e-16,0.8318882890365449,0.8711129568106312,10
100,ordered,c2_network,raw,0.753205980066445,0.00019260827387516922,0.7302142857142858,0.7756839700996678,10
100,ordered,c2_network,znorm,0.8316445182724254,0.0009943679399815953,0.8106287375415283,0.8512632890365449,10
100,ordered,c2_physical,raw,0.9147840531561464,2.340555645717801e-16,0.9016939368770763,0.9274622093023257,10
100,ordered,c2_physical,znorm,0.9177740863787378,2.340555645717801e-16,0.905314784053156,0.9297699335548172,10
100,ordered,network_physical,raw,0.883936877076412,0.00033268701851162905,0.8676229235880399,0.8985901162790697,10
100,ordered,network_physical,znorm,0.9034551495016612,0.0008782892606377818,0.8899493355481729,0.916264119601329,10
100,ordered,all_three,raw,0.9296345514950166,0.0005657603443829246,0.9181723421926911,0.9406316445182724,10
100,ordered,all_three,znorm,0.9375747508305647,0.0004552559200685288,0.9261607142857143,0.9479908637873754,10
100,shuffled,c2_only,raw,0.4674400712025825,0.04851806261491347,0.43570799949293904,0.49761969671815354,10
100,shuffled,c2_only,znorm,0.4674400712025825,0.04851806261491347,0.43570799949293904,0.49761969671815354,10
100,shuffled,network_only,raw,0.5133778356025291,0.04147224676016928,0.4832205579921503,0.5439761596046275,10
100,shuffled,network_only,znorm,0.5133778356025291,0.04147224676016928,0.4832205579921503,0.5439761596046275,10
100,shuffled,physical_only,raw,0.6064034245062241,0.03630624138739103,0.5768759171594691,0.635370765519948,10
100,shuffled,physical_only,znorm,0.6064034245062241,0.03630624138739103,0.5768759171594691,0.635370765519948,10
100,shuffled,c2_network,raw,0.47456058234106874,0.0476979650781509,0.44322980766663755,0.50543197069222,10
100,shuffled,c2_network,znorm,0.4945989664445244,0.04459838457155623,0.46451170790274043,0.5257693646665599,10
100,shuffled,c2_physical,raw,0.5498561193767276,0.05157282677827468,0.5184203254209925,0.5797527478654918,10
100,shuffled,c2_physical,znorm,0.574890731998497,0.04749824246554343,0.5443194548601145,0.6044686136587334,10
100,shuffled,network_physical,raw,0.6114306545565726,0.04035972502381942,0.5822913042774258,0.6401882886176272,10
100,shuffled,network_physical,znorm,0.5963470309770196,0.0455242468213577,0.5673171922907324,0.627422405838882,10
100,shuffled,all_three,raw,0.5488623342789762,0.04893473831154673,0.5167197362336711,0.5802367257277661,10
100,shuffled,all_three,znorm,0.5652648738332933,0.04588241146942244,0.5353549116007204,0.5976842410786115,10
200,ordered,c2_only,raw,0.7074829931972789,0.0,0.6674115646258504,0.7458520408163266,10
200,ordered,c2_only,znorm,0.7074829931972789,0.0,0.6674115646258504,0.7458520408163266,10
200,ordered,network_only,raw,0.7954421768707483,0.001435931083808404,0.7470068027210885,0.842593537414966,10
200,ordered,network_only,znorm,0.7954421768707483,0.001435931083808404,0.7470068027210885,0.842593537414966,10
200,ordered,physical_only,raw,0.8496598639455784,1.1702778228589004e-16,0.8223129251700682,0.8780986394557824,10
200,ordered,physical_only,znorm,0.8496598639455784,1.1702778228589004e-16,0.8223129251700682,0.8780986394557824,10
200,ordered,c2_network,raw,0.7243537414965987,0.0005366058760181132,0.6829863945578232,0.7612993197278912,10
200,ordered,c2_network,znorm,0.7815646258503401,0.0009858079419175945,0.7340119047619048,0.8257176870748301,10
200,ordered,c2_physical,raw,0.9,0.0,0.8789778911564626,0.9192534013605441,10
200,ordered,c2_physical,znorm,0.8965986394557822,1.1702778228589004e-16,0.8757108843537416,0.9170068027210885,10
200,ordered,network_physical,raw,0.8829251700680272,0.00021512092926313423,0.8610884353741497,0.9054421768707483,10
200,ordered,network_physical,znorm,0.8814285714285715,0.0009647187023211864,0.8575510204081633,0.9035391156462584,10
200,ordered,all_three,raw,0.9099999999999999,0.0003286026473059048,0.8893197278911567,0.9287755102040818,10
200,ordered,all_three,znorm,0.9100680272108843,0.0007025820129174632,0.8891088435374149,0.9289115646258503,10
200,shuffled,c2_only,raw,0.4970836371842976,0.06614595457362432,0.45489223872974943,0.5383192530506126,10
200,shuffled,c2_only,znorm,0.4970836371842976,0.06614595457362432,0.45489223872974943,0.5383192530506126,10
