row,w,auc_mean,auc_std,ci_lo,ci_hi,marginal_s,baseline_s,n_runs
25,25.0,0.8687538863325457,0.0001527662617538489,0.8605106381876217,0.8768760622642291,0.009063645918963206,76.38725655409998,10
50,50.0,0.9010465116279068,0.0002363828815740507,0.8911860465116277,0.9106497093023256,0.0320028679311479,62.81606183309996,10
100,100.0,0.9375747508305647,0.0004552559200685288,0.9261607142857143,0.9479908637873754,0.13598327707267682,56.27318419150011,10
200,200.0,0.9100680272108843,0.0007025820129174632,0.8891088435374149,0.9289115646258503,0.6794345807681326,46.25118031249995,10
per_flow,,0.8929525,0.0078326476040725,0.8849354531250001,0.8999251484374999,0.06019756393325224,,10
