attack_class,manifold,scoring,mean,std,dominant_manifold,dominant_mean_auc,is_dominant
Blackhole Attack,c2,raw,0.43665729166666667,0.02683216723575842,physical,0.7876020833333333,False
Blackhole Attack,network,raw,0.33658645833333334,0.009671729771392131,physical,0.7876020833333333,False
Blackhole Attack,physical,raw,0.7876020833333333,0.01572304561500281,physical,0.7876020833333333,True
Blackhole Attack,c2,znorm,0.43665729166666667,0.02683216723575842,physical,0.7876020833333333,False
Blackhole Attack,network,znorm,0.33658645833333334,0.009671729771392131,physical,0.7876020833333333,False
Blackhole Attack,physical,znorm,0.7876020833333333,0.01572304561500281,physical,0.7876020833333333,True
Flooding Attack,c2,raw,0.6158270833333334,0.01688246285597376,network,0.7721052083333334,False
Flooding Attack,network,raw,0.7721052083333334,0.010230624471816547,network,0.7721052083333334,True
Flooding Attack,physical,raw,0.38144791666666666,0.00905721038155971,network,0.7721052083333334,False
Flooding Attack,c2,znorm,0.6158270833333334,0.01688246285597376,network,0.7721052083333334,False
Flooding Attack,network,znorm,0.7721052083333334,0.010230624471816547,network,0.7721052083333334,True
Flooding Attack,physical,znorm,0.38144791666666666,0.00905721038155971,network,0.7721052083333334,False
Sybil Attack,c2,raw,0.6294052083333334,0.02367970360097882,network,0.871746875,False
Sybil Attack,network,raw,0.871746875,0.007715120604209634,network,0.871746875,True
Sybil Attack,physical,raw,0.20306354166666665,0.011342189257875161,network,0.871746875,False
Sybil Attack,c2,znorm,0.6294052083333334,0.02367970360097882,network,0.871746875,False
Sybil Attack,network,znorm,0.871746875,0.007715120604209634,network,0.871746875,True
Sybil Attack,physical,znorm,0.20306354166666665,0.011342189257875161,network,0.871746875,False
Wormhole Attack,c2,raw,0.5501020833333333,0.023279567123181397,physical,0.7392645833333334,False
Wormhole Attack,network,raw,0.27628541666666667,0.00321511981778418,physical,0.7392645833333334,False
Wormhole Attack,physical,raw,0.7392645833333334,0.011458366098438059,physical,0.7392645833333334,True
Wormhole Attack,c2,znorm,0.5501020833333333,0.023279567123181397,physical,0.7392645833333334,False
Wormhole Attack,network,znorm,0.27628541666666667,0.00321511981778418,physical,0.7392645833333334,False
Wormhole Attack,physical,znorm,0.7392645833333334,0.011458366098438059,physical,0.7392645833333334,True
