row_idx,c2_scaler_s,c2_rips_s,c2_slice_s,c2_w2_s,c2_total_s,network_scaler_s,network_rips_s,network_slice_s,network_w2_s,network_total_s,physical_scaler_s,physical_rips_s,physical_slice_s,physical_w2_s,physical_total_s,total_s
50,0.0006022500000000264,3.0686363749999996,0.00023524999999935403,0.022432042000000152,3.091905916999999,0.0008292499999997816,0.052198709000000676,0.00012762500000018662,0.016921790999999686,0.07007737500000033,0.0007627499999998122,0.4011270840000005,0.00016595800000018812,6.779200000028851e-05,0.4021235840000008,3.5641068760000003
302,0.0008008340000005276,2.859763708999999,0.00020366600000087942,0.020741834000000736,2.8815100430000014,0.0008873330000014334,0.058574292000001194,0.00017233400000016275,0.021867332999999434,0.08150129200000222,0.000882290999999924,0.3918169169999999,0.00017141600000059043,0.006359915999999188,0.3992305399999996,3.362241875000003
615,0.0008760839999997216,2.8219632919999995,0.00020891600000005894,0.020826583999999926,2.843874875999999,0.0009000419999996012,0.05446045899999952,0.00014537500000066927,0.01659458299999983,0.07210045899999962,0.0007859999999997314,0.40063383399999886,0.00016812500000007446,7.162500000035266e-05,0.401659583999999,3.317634918999998
749,0.0008463330000001434,3.0582179169999986,0.00019591699999921275,0.02026220799999834,3.0795223749999963,0.0008967920000024776,0.05753508300000121,0.00014945800000276677,0.0224542079999992,0.08103554100000565,0.0008441250000004175,0.41233791699999855,0.00017633300000241547,0.00743133299999954,0.42078970800000093,3.581347624000003
1377,0.0008534169999983021,2.939184375,0.00021412499999939882,0.020435000000002645,2.9606869170000003,0.0008455410000003383,0.052499042000000884,0.00011204100000128392,0.02323470800000038,0.07669133200000289,0.0006886669999985884,0.37959754199999907,0.0001681670000017732,6.691699999805678e-05,0.3805212929999975,3.4178995420000007
3208,0.0007963750000001824,2.708662125,0.00018374999999792863,0.01923241699999778,2.728874666999996,0.0008468750000005798,0.05225120800000127,9.983300000016015e-05,0.035221458999998845,0.08841937500000085,0.0007012499999987654,0.37519858299999953,0.00014879200000095238,0.006734375000000625,0.3827829999999999,3.2000770419999967
4937,0.0007960830000008912,2.9203184580000006,0.00018425000000021896,0.01930341599999963,2.9406022070000013,0.0008542080000033536,0.05097333299999818,0.0001146670000018446,0.02246845899999883,0.0744106670000022,0.00073066699999913,0.4020602920000016,0.00016783299999900692,0.006743792000001747,0.4097025840000015,3.424715458000005
5080,0.0008264579999988086,3.155010624999999,0.00018437499999990337,0.020323957999998754,3.1763454159999966,0.0008952080000028673,0.053299540999997674,0.00013762500000069622,0.03370645899999758,0.08803883299999882,0.0007684579999995833,0.41225787500000166,0.00016766699999948287,0.006752500000001049,0.4199465000000018,3.6843307489999972
5633,0.0008254580000013334,3.1032046250000036,0.00018454199999951015,0.020420167000004597,3.124634792000009,0.0008367500000048267,0.05423104199999784,0.00010558299999985366,0.02554020800000245,0.08071358300000497,0.0007055840000020908,0.4031831250000053,0.0001669589999977461,0.0067402090000001635,0.4107958770000053,3.6161442520000193
7221,0.0008352920000049835,3.182006084000001,0.0001870420000003037,0.019718666999999357,3.2027470850000057,0.0008170000000049527,0.05316475000000054,9.562500000015461e-05,0.03569137499999897,0.08976875000000462,0.0006961249999974939,0.39393195800000314,0.0001587499999970987,0.006966333000001157,0.4017531659999989,3.694269001000009
9220,0.0008656669999993483,3.3430418340000045,0.00019195899999857602,0.014261083000000951,3.3583605430000034,0.0008501659999993194,0.05237912499999453,0.00010837499999638567,0.02532354200000242,0.07866120799999266,0.0007196669999984806,0.40042395800000463,0.00015420899999440962,0.005811999999998818,0.40710983399999634,3.8441315849999924
9353,0.0007932499999938614,3.292731583999995,0.0002978750000011132,0.013316916000000845,3.3071396249999907,0.0023009590000029334,0.054013208000000645,0.00012433300000225245,0.030691457999999727,0.08712995800000556,0.0007343330000040282,0.413672708,0.00017112500000138198,0.00950170800000194,0.42407987400000735,3.8183494570000036
9955,0.000811500000004628,2.928037291999999,0.00016787499999537658,0.019428041000004725,2.948444708000004,0.0008014589999945088,0.053643167000004155,0.0001082080000003316,0.025500499999999704,0.0800533339999987,0.0006995000000031837,0.3980820840000021,0.00018441699999982575,0.007362875000005431,0.40632887600001055,3.434826918000013
