window_idx,start_pos,baseline_setup_s,c2_rips_s,c2_w2_s,c2_total_s,network_rips_s,network_w2_s,network_total_s,physical_rips_s,physical_w2_s,physical_total_s,total_s
0,0,64.61438495799999,0.00623095900002113,0.0053729999999916345,0.011603959000012765,0.0003359170000010181,0.004301999999995587,0.004637916999996605,0.0029626660000019456,0.006625417000009293,0.009588083000011238,0.025829959000020608
5,250,64.61438495799999,0.002408625000015263,0.006515082999982269,0.008923707999997532,0.0006799579999778871,0.006582624999992959,0.007262582999970846,0.003286457999990944,0.006556875000001128,0.009843332999992072,0.02602962399996045
12,600,64.61438495799999,0.005211583000004794,0.0066477920000238555,0.011859375000028649,0.0003612080000152673,0.004518458000006831,0.004879666000022098,0.0023641249999855063,0.005307665999993105,0.007671790999978612,0.02441083200002936
14,700,64.61438495799999,0.002089791999992485,0.00627629100000604,0.008366082999998525,0.0004290420000074846,0.00429583299998626,0.0047248749999937445,0.002418916999999965,0.006185750000014423,0.008604667000014388,0.021695625000006658
25,1250,64.61438495799999,0.0016562079999857815,0.0076832080000031056,0.009339415999988887,0.00027691600001844563,0.0050573329999963335,0.005334249000014779,0.00328558400002521,0.006058582999997952,0.009344167000023162,0.02401783200002683
60,3000,64.61438495799999,0.000486124999980575,0.0060413749999952415,0.0065274999999758165,0.0050239159999989624,0.008169041999991578,0.01319295799999054,0.0002742080000075475,0.006740583999999217,0.007014792000006764,0.02673524999997312
91,4550,64.61438495799999,0.000180792000008978,0.005767958999996381,0.005948751000005359,0.0034391249999998763,0.007570541999996294,0.01100966699999617,0.0001458750000153941,0.006123583000004373,0.0062694580000197675,0.023227876000021297
99,4950,64.61438495799999,0.0012834999999995489,0.006943709000012177,0.008227209000011726,0.004125665999993089,0.0077066249999973024,0.011832290999990391,0.0001320840000005319,0.005036458000006405,0.005168542000006937,0.025228042000009054
104,5200,64.61438495799999,0.0050345410000147695,0.006006041999995659,0.011040583000010429,0.014902750000004517,0.008052457999980334,0.02295520799998485,0.0001248750000115706,0.005283667000014702,0.005408542000026273,0.03940433300002155
142,7100,64.61438495799999,0.00028016699999966477,0.008090291000002026,0.00837045800000169,0.02365791700000841,0.006708416000009265,0.030366333000017676,0.00012970800000289273,0.006018291999993153,0.0061479999999960455,0.04488479100001541
173,8650,64.61438495799999,0.0005956250000167529,0.007979374999990796,0.008575000000007549,0.0008842499999843767,0.006835375000008526,0.007719624999992902,0.0006867499999998472,0.00721325000000661,0.007900000000006457,0.02419462500000691
175,8750,64.61438495799999,0.0004354159999877538,0.006461584000021503,0.006897000000009257,0.0010376250000092568,0.008846417000000883,0.00988404200001014,0.0009310840000011922,0.007239999999995916,0.008171083999997109,0.024952126000016506
192,9600,64.61438495799999,0.0008375419999993028,0.006159958000012011,0.006997500000011314,0.000490250000012793,0.01026933299999655,0.010759583000009343,0.0006137089999924683,0.007113666000009289,0.007727375000001757,0.025484458000022414
198,9900,64.61438495799999,0.00031416600000966355,0.0073242910000033135,0.007638457000012977,0.000690708999997014,0.007761582999989969,0.008452291999986983,0.0004182080000134647,0.007497125000014648,0.007915333000028113,0.024006082000028073
201,10050,64.61438495799999,0.000380582999980561,0.0077214169999990645,0.008101999999979625,0.0003758750000031341,0.0066570420000005015,0.007032917000003636,0.00053225000002044,0.009214250000013635,0.009746500000034075,0.024881417000017336
212,10600,64.61438495799999,0.001191667000000507,0.007757000000026437,0.008948667000026944,0.0010968330000196147,0.006973291999997855,0.00807012500001747,0.0001902909999955682,0.00460541600000397,0.004795706999999538,0.021814499000043952
