window_idx,start_pos,baseline_setup_s,c2_rips_s,c2_w2_s,c2_total_s,network_rips_s,network_w2_s,network_total_s,physical_rips_s,physical_w2_s,physical_total_s,total_s
1,25,78.092086667,0.0006634589999805485,0.0017127079999852413,0.0023761669999657897,0.000185082999990982,0.0009382080000079895,0.0011232909999989715,0.0007489170000098966,0.0020638750000046002,0.002812792000014497,0.006312249999979258
11,275,78.092086667,0.0007266249999986485,0.0019895419999897968,0.0027161669999884452,0.00020820800000365125,0.0015086670000243885,0.0017168750000280397,0.0006841250000206855,0.002297666999993453,0.0029817920000141385,0.007414834000030623
24,600,78.092086667,0.0006860000000017408,0.0014602910000007796,0.0021462910000025204,0.00012562499998125531,0.0010059580000074675,0.0011315829999887228,0.0006160000000079435,0.00184579200001167,0.0024617920000196136,0.005739666000010857
29,725,78.092086667,0.00020016700000269338,0.0015914159999965705,0.0017915829999992638,0.00010825000001091212,0.00175537499998768,0.001863624999998592,0.00032274999998094245,0.0018758330000139267,0.002198582999994869,0.005853790999992725
53,1325,78.092086667,0.0003164999999967222,0.0016241250000064156,0.0019406250000031378,0.00013500000000021828,0.0016352089999998043,0.0017702090000000226,0.0005359589999898162,0.001969874999986132,0.0025058339999759482,0.006216667999979109
124,3100,78.092086667,0.00010658299999022347,0.0018166249999751471,0.0019232079999653706,0.000682542000021158,0.002140959000001885,0.002823501000023043,8.733300001040334e-05,0.0029613749999839456,0.003048707999994349,0.007795416999982763
190,4750,78.092086667,0.00011425000002418528,0.0021408329999985654,0.0022550830000227506,0.0005074580000155038,0.0024765000000002146,0.0029839580000157184,9.845799999652627e-05,0.0014254999999820939,0.0015239579999786201,0.006762999000017089
200,5000,78.092086667,0.00012358399999357061,0.002133166000021447,0.0022567500000150176,0.00025670799999488736,0.0018863329999874168,0.002143040999982304,7.591700000375567e-05,0.0019425829999875077,0.0020184999999912634,0.006418290999988585
217,5425,78.092086667,0.0002281669999888436,0.0023323329999982434,0.002560499999987087,0.0014525830000025053,0.002113041999990628,0.0035656249999931333,6.458299998257644e-05,0.0021104169999830447,0.002174999999965621,0.008301124999945841
286,7150,78.092086667,8.362500000202999e-05,0.0020377909999922394,0.0021214159999942694,0.003964249999995673,0.0025545000000022355,0.006518749999997908,9.916700000189849e-05,0.0018892919999871083,0.0019884589999890068,0.010628624999981184
360,9000,78.092086667,0.00019720800000300187,0.002430208000021139,0.002627416000024141,0.0005199590000017906,0.002678166999999121,0.0031981260000009115,0.00013562499998442945,0.0027583749999848806,0.00289399999996931,0.008719541999994362
391,9775,78.092086667,0.00023487499998964267,0.001743000000004713,0.0019778749999943557,0.000155832999979566,0.0023174579999931666,0.0024732909999727326,0.0003135829999791895,0.0019653330000153346,0.002278915999994524,0.006730081999961612
404,10100,78.092086667,0.00011916600001882216,0.0019037499999967622,0.0020229160000155844,0.0001271250000058899,0.0023719999999798347,0.0024991249999857246,0.00011762500000145337,0.0019834160000016254,0.002101041000003079,0.006623082000004388
434,10850,78.092086667,0.0001350420000107988,0.0021860420000052727,0.0023210840000160715,0.0003427079999767102,0.001575750000000653,0.0019184579999773632,9.441699998546937e-05,0.002221999999989066,0.0023164169999745354,0.00655595899996797
449,11225,78.092086667,0.00010879200002023026,0.0034574580000139576,0.003566250000034188,0.00016970800001558928,0.002606874999997899,0.0027765830000134883,0.0001422910000030697,0.0017425839999987147,0.0018848750000017844,0.00822770800004946
455,11375,78.092086667,0.00014154199999438788,0.0027560419999872465,0.0028975839999816344,0.00015837500001225635,0.0021796249999965767,0.002338000000008833,0.00010329100001627012,0.0024907089999999243,0.0025940000000161945,0.007829584000006662
463,11575,78.092086667,0.00014645799998902476,0.0021628339999892887,0.0023092919999783135,0.0002720829999987018,0.003472208000005139,0.003744291000003841,8.00420000075519e-05,0.0015777080000134447,0.0016577500000209966,0.007711333000003151
487,12175,78.092086667,0.00010274999999637657,0.0018917919999807964,0.001994541999977173,0.00028683400000772963,0.002195290999992494,0.0024821250000002237,0.00014958299999534574,0.0023474159999921085,0.0024969989999874542,0.006973665999964851
524,13100,78.092086667,8.508299998766233e-05,0.0028369999999995343,0.0029220829999871967,0.0002457500000048185,0.0021628340000177104,0.002408584000022529,0.0001339169999994283,0.001620957999989514,0.0017548749999889424,0.007085541999998668
534,13350,78.092086667,8.129100001497136e-05,0.0027822079999850757,0.002863499000000047,0.0006906250000042746,0.004384874999999511,0.005075500000003785,0.00016491700000642595,0.0020602499999995416,0.0022251670000059676,0.0101641660000098
559,13975,78.092086667,0.0001019160000055308,0.0024008750000064083,0.002502791000011939,0.00035312500000372893,0.0022079590000032567,0.0025610840000069857,0.00019079099999430582,0.0029077920000020185,0.0030985829999963244,0.008162458000015249
579,14475,78.092086667,0.0008541250000178024,0.0017729589999930795,0.002627084000010882,0.0010049580000099922,0.0028114579999964917,0.003816416000006484,0.00023458300000811505,0.0021769579999784128,0.002411540999986528,0.008855041000003894
591,14775,78.092086667,0.00015987500000846921,0.0020115830000122514,0.0021714580000207206,0.0008679169999936676,0.0026670000000024174,0.003534916999996085,0.00010154199998169133,0.0018830829999956222,0.0019846249999773136,0.007690999999994119
