mode,w,stage,mean_s,median_s,p95_s,n
per_flow,,c2_scaler_s,0.0008449319666666834,0.00082595800000005,0.0009695147000031095,30
per_flow,,c2_rips_s,3.0555574583666654,3.0625561669999994,3.3204022215,30
per_flow,,c2_slice_s,0.00019057216666549666,0.00018579199999989998,0.00024283504999379995,30
per_flow,,c2_w2_s,0.018686890333333647,0.01985050049999865,0.021709585900000005,30
per_flow,,c2_total_s,3.0752798528333316,3.083906917,3.3353111298999973,30
per_flow,,network_scaler_s,0.0008960374333341635,0.0008445205000011001,0.0009326520499982798,30
per_flow,,network_rips_s,0.05437512643333355,0.053828187500002345,0.05849331044999854,30
per_flow,,network_slice_s,0.0001214915666669178,0.00011218700000265001,0.00016203980000126993,30
per_flow,,network_w2_s,0.02591783060000062,0.0247567294999946,0.03578171249999747,30
per_flow,,network_total_s,0.08131048603333542,0.08019750050000596,0.09275424185000349,30
per_flow,,physical_scaler_s,0.0007699861333343099,0.00073833349999925,0.00088107285000143,30
per_flow,,physical_rips_s,0.41332333626666595,0.40479464599999204,0.4815173484000032,30
per_flow,,physical_slice_s,0.0001688737333337833,0.0001670419999939,0.00018077920000096997,30
per_flow,,physical_w2_s,0.005371355533333671,0.00673729200000035,0.011798049849997763,30
per_flow,,physical_total_s,0.4196335516666679,0.4102492305000034,0.4876161337500112,30
per_flow,,total_s,3.5762238905333343,3.5855034585,3.8590737325499873,30
windowed,25.0,baseline_setup_s,78.092086667,78.092086667,78.092086667,30
windowed,25.0,c2_rips_s,0.00027347776666787296,0.00014574999998725,0.0007967500000091596,30
windowed,25.0,c2_w2_s,0.0021555971333336705,0.0020413124999975503,0.0028913125000030746,30
windowed,25.0,c2_total_s,0.0024290749000015835,0.00234862549999085,0.0030093729499895195,30
windowed,25.0,network_rips_s,0.0005231193666682991,0.0002512289999998,0.001302676750003669,30
windowed,25.0,network_w2_s,0.002212101366667174,0.0022016249999978,0.0031748705000011835,30
windowed,25.0,network_total_s,0.0027352207333355273,0.00249062499999295,0.004508912200004911,30
windowed,25.0,physical_rips_s,0.0002526916333323119,0.00014593699999915,0.0006534687500148849,30
windowed,25.0,physical_w2_s,0.0020693958666630997,0.00197664549999385,0.0028405543499942596,30
windowed,25.0,physical_total_s,0.002322087499995433,0.0022976664999845,0.0030185958000032097,30
windowed,25.0,total_s,0.007486383133332641,0.0075529170000123505,0.009575059750007097,30
windowed,50.0,baseline_setup_s,64.614384958,64.61438495799999,64.61438495799999,30
windowed,50.0,c2_rips_s,0.0018433430333326302,0.0005408749999986,0.0069818233999953015,30
windowed,50.0,c2_w2_s,0.006860038900001039,0.00688708399999875,0.008040378799996915,30
windowed,50.0,c2_total_s,0.008703381933333717,0.00816460449999565,0.013117706250001424,30
windowed,50.0,network_rips_s,0.0030007929666680333,0.00150489549999115,0.010867675149997005,30
windowed,50.0,network_w2_s,0.007287737399998139,0.0072217499999850995,0.009772195499998252,30
windowed,50.0,network_total_s,0.010288530366666222,0.00927291649999515,0.01875830189998302,30
windowed,50.0,physical_rips_s,0.001147288866670187,0.00039020799999885,0.003871429199995132,30
windowed,50.0,physical_w2_s,0.006427883366669063,0.006232458500008401,0.008506625000009592,30
windowed,50.0,physical_total_s,0.007575172233339297,0.00769945799997625,0.010421406250013343,30
windowed,50.0,total_s,0.026567084533339343,0.0246461245000233,0.038694251900028516,30
windowed,100.0,baseline_setup_s,57.378295791999996,57.37829579199999,57.37829579199999,30
windowed,100.0,c2_rips_s,0.027467933299995625,0.0037363954999704496,0.11987088330001225,30
windowed,100.0,c2_w2_s,0.024763076266668755,0.024508916499996702,0.03494021875001462,30
windowed,100.0,c2_total_s,0.052231009566664446,0.030311915999959603,0.14178561265000802,30
windowed,100.0,network_rips_s,0.01076733890000313,0.0043884789999992,0.040029649999999514,30
windowed,100.0,network_w2_s,0.023992223633333223,0.02378037549999585,0.03112237689999232,30
windowed,100.0,network_total_s,0.034759562533336404,0.0299807490000034,0.06450040435000226,30
windowed,100.0,physical_rips_s,0.0070519735333353095,0.00283820799998575,0.027082825000005025,30
windowed,100.0,physical_w2_s,0.021652813933341442,0.02094770850004575,0.03352306264999349,30
windowed,100.0,physical_total_s,0.02870478746667682,0.02551102050000505,0.05017561075001704,30
windowed,100.0,total_s,0.11569535956667774,0.09366977150006045,0.20525251670003936,30
windowed,200.0,baseline_setup_s,49.446700792,49.446700792,49.446700792,30
windowed,200.0,c2_rips_s,0.2070822236666667,0.03654797949999985,0.8427653688999923,30
windowed,200.0,c2_w2_s,0.10915618333333248,0.10356531300001845,0.16203945260000685,30
windowed,200.0,c2_total_s,0.3162384069999992,0.15512116699997586,0.9596974942000199,30
windowed,200.0,network_rips_s,0.052921544466666595,0.0273462085000346,0.24075300214998363,30
windowed,200.0,network_w2_s,0.09811558326666914,0.0840350210000053,0.16694448559997843,30
windowed,200.0,network_total_s,0.15103712773333575,0.13076729200002996,0.3295203278999452,30
windowed,200.0,physical_rips_s,0.06112042353333698,0.01815620849998815,0.23327046660002954,30
windowed,200.0,physical_w2_s,0.0751704680999959,0.07697031249998071,0.10109398559998505,30
windowed,200.0,physical_total_s,0.1362908916333329,0.1033780625000133,0.3249321067000522,30
windowed,200.0,total_s,0.6035664263666679,0.45684322950003775,1.3033333462000398,30
