subset,auc_delta01,auc_delta05,delta_auc,n_flows
c2_only,0.7453640578129261,0.745364057812926,-1.1102230246251565e-16,500
network_only,0.7703163348786474,0.7702254340514498,-9.090082719753756e-05,500
physical_only,0.6444414144168712,0.6442596127624762,-0.0001818016543949641,500
c2_network,0.8370148168348333,0.8370148168348331,-1.1102230246251565e-16,500
c2_physical,0.7721343514225979,0.7722707026633943,0.00013635124079636185,500
network_physical,0.8749204617762023,0.8749431869830016,2.2725206799245612e-05,500
all_three,0.8965321334424143,0.896577583856013,4.545041359871327e-05,500
